# 
# Filename                   : 
# PhraseRecognitionModelGuid : 00000000-0000-0000-0000-000000000000
# Language                   : 0
# Language version           : 0
# 
# MediaFilename	Channel	Type	Phrase	Score	StartTimeCs	EndTimeCs
	1	T	NEED	100.0000	0	4
	1	T	ANOTHER	100.0000	1005	1012
	1	T	IP	100.0000	2013	2015
	1	T	ADDRESS	100.0000	3016	3023
	1	T	TO	100.0000	4024	4026
	1	T	SEND	100.0000	5027	5031
	1	T	IN	100.0000	6032	6034
	1	T	THE	100.0000	7035	7038
	1	T	RESET	100.0000	8039	8044
	1	T	CODE	100.0000	9045	9049
	0	T	HI	100.0000	10010	10012
	0	T	THERE	100.0000	11013	11018
	0	T	LET'S	100.0000	12020	12025
	0	T	PULL	100.0000	13026	13030
	0	T	UP	100.0000	14031	14033
	0	T	THE	100.0000	15034	15037
	0	T	ACCOUNT	100.0000	16038	16045
	0	T	AND	100.0000	17046	17049
	0	T	CHECK	100.0000	18050	18055
	0	T	ON	100.0000	19056	19058
	0	T	THE	100.0000	20059	20062
	0	T	OPTIONS	100.0000	21063	21070
	0	T	ON	100.0000	22071	22073
	0	T	HOW	100.0000	23074	23077
	0	T	WE	100.0000	24078	24080
	0	T	CAN	100.0000	25081	25084
	0	T	RESET	100.0000	26085	26090
	0	T	YOUR	100.0000	27091	27095
	0	T	PASSWORD	100.0000	28096	28104
	0	T	FOR	100.0000	29105	29108
	0	T	YOU	100.0000	30109	30112
	0	T	FOR	100.0000	31031	31034
	0	T	VERIFICATION	100.0000	32035	32047
	0	T	PURPOSES	100.0000	33048	33056
	0	T	PLEASE	100.0000	34058	34064
	0	T	PROVIDE	100.0000	35065	35072
	0	T	YOUR	100.0000	36073	36077
	0	T	COMPLETE	100.0000	37078	37086
	0	T	NAME	100.0000	38087	38091
	0	T	AND	100.0000	39092	39095
	0	T	ADDRESS	100.0000	40096	40103
	0	T	I	100.0000	41041	41042
	0	T	HOPE	100.0000	42043	42047
	0	T	WE'RE	100.0000	43048	43053
	0	T	STILL	100.0000	44054	44059
	0	T	CONNECTED	100.0000	45060	45069
	1	T	HI	100.0000	46046	46048
	1	T	THERE	100.0000	47049	47054
	1	T	CHRISTOPHER	100.0000	48048	48059
	1	T	GRAHAM	100.0000	49060	49066
	1	T	1614	100.0000	50050	50054
	1	T	S	100.0000	51055	51056
	1	T	2ND	100.0000	52058	52061
	1	T	ST	100.0000	53062	53064
	1	T	3	100.0000	54066	54067
	1	T	PHILADELPHIA	100.0000	55068	55080
	1	T	PA	100.0000	56082	56084
	1	T	19107	100.0000	57085	57090
	0	T	ONE	100.0000	58058	58061
	0	T	MOMENT	100.0000	59062	59068
	0	T	PLEASE	100.0000	60069	60075
	1	T	OK	100.0000	61061	61063
	0	T	THANK	100.0000	62062	62067
	0	T	YOU	100.0000	63068	63071
	0	T	FOR	100.0000	64072	64075
	0	T	PATIENTLY	100.0000	65076	65085
	0	T	WAITING	100.0000	66086	66093
	0	T	WE	100.0000	67067	67069
	0	T	WILL	100.0000	68070	68074
	0	T	BE	100.0000	69075	69077
	0	T	NEEDING	100.0000	70078	70085
	0	T	TO	100.0000	71086	71088
	0	T	MAKE	100.0000	72089	72093
	0	T	SURE	100.0000	73094	73098
	0	T	THAT	100.0000	74099	74103
	0	T	YOU	100.0000	75104	75107
	0	T	ARE	100.0000	76108	76111
	0	T	CONNECTED	100.0000	77112	77121
	0	T	TO	100.0000	78122	78124
	0	T	YOUR	100.0000	79125	79129
	0	T	IN	100.0000	80130	80132
	0	T	HOME	100.0000	81133	81137
	0	T	WIFI	100.0000	82138	82142
	0	T	AS	100.0000	83143	83145
	0	T	WELL	100.0000	84146	84150
	0	T	WHAT	100.0000	85085	85089
	0	T	IS	100.0000	86090	86092
	0	T	THE	100.0000	87093	87096
	0	T	USERNAME	100.0000	88097	88105
	0	T	OF	100.0000	89106	89108
	0	T	THE	100.0000	90109	90112
	0	T	ACCOUNT	100.0000	91113	91120
	0	T	YOU	100.0000	92121	92124
	0	T	ARE	100.0000	93125	93128
	0	T	TRYING	100.0000	94129	94135
	0	T	TO	100.0000	95136	95138
	0	T	ACCESS	100.0000	96139	96145
	1	T	KFGR80	100.0000	97097	97103
	0	T	SURE	100.0000	98098	98102
	0	T	CHECKING	100.0000	99104	99112
	0	T	ON	100.0000	100113	100115
	0	T	THE	100.0000	101116	101119
	0	T	SYSTEM	100.0000	102120	102126
	0	T	NOW	100.0000	103127	103130
	0	T	I	100.0000	104104	104105
	0	T	CAN	100.0000	105106	105109
	0	T	SEE	100.0000	106110	106113
	0	T	HERE	100.0000	107114	107118
	0	T	THAT	100.0000	108119	108123
	0	T	YOUR	100.0000	109124	109128
	0	T	ACCOUNT	100.0000	110129	110136
	0	T	IS	100.0000	111137	111139
	0	T	NOT	100.0000	112140	112143
	0	T	YET	100.0000	113144	113147
	0	T	SET	100.0000	114148	114151
	0	T	UP	100.0000	115152	115154
	0	T	WE	100.0000	116156	116158
	0	T	CAN	100.0000	117159	117162
	0	T	REGISTER	100.0000	118163	118171
	0	T	YOUR	100.0000	119172	119176
	0	T	EMAIL	100.0000	120177	120182
	0	T	ADDRESS	100.0000	121183	121190
	0	T	AND	100.0000	122191	122194
	0	T	PHONE	100.0000	123195	123200
	0	T	NUMBER	100.0000	124201	124207
	0	T	TO	100.0000	125208	125210
	0	T	THIS	100.0000	126211	126215
	0	T	USERNAME	100.0000	127216	127224
	0	T	SO	100.0000	128225	128227
	0	T	THAT	100.0000	129228	129232
	0	T	WE	100.0000	130233	130235
	0	T	CAN	100.0000	131236	131239
	0	T	MAKE	100.0000	132240	132244
	0	T	THE	100.0000	133245	133248
	0	T	PROCESS	100.0000	134249	134256
	0	T	EASIER	100.0000	135257	135263
	0	T	FOR	100.0000	136264	136267
	0	T	YOU	100.0000	137268	137271
	0	T	TO	100.0000	138272	138274
	0	T	RESET	100.0000	139275	139280
	0	T	THE	100.0000	140281	140284
	0	T	PASSWORD	100.0000	141285	141293
	0	T	TO	100.0000	142142	142144
	0	T	FULLY	100.0000	143145	143150
	0	T	VERIFY	100.0000	144151	144157
	0	T	THE	100.0000	145158	145161
	0	T	ACCOUNT	100.0000	146162	146169
	0	T	WHAT	100.0000	147171	147175
	0	T	IS	100.0000	148176	148178
	0	T	THE	100.0000	149179	149182
	0	T	ACCOUNT	100.0000	150183	150190
	0	T	NUMBER	100.0000	151191	151197
	1	T	8771	100.0000	152152	152156
	1	T	40	100.0000	153157	153159
	1	T	029	100.0000	154160	154163
	1	T	089726	100.0000	155164	155170
	0	T	THAT	100.0000	156156	156160
	0	T	IS	100.0000	157161	157163
	0	T	THE	100.0000	158164	158167
	0	T	ACCOUNT	100.0000	159168	159175
	0	T	NUMBER	100.0000	160176	160182
	0	T	WHERE	100.0000	161183	161188
	0	T	THE	100.0000	162189	162192
	0	T	USERNAME	100.0000	163193	163201
	0	T	IS	100.0000	164202	164204
	0	T	REGISTERED	100.0000	165205	165215
	0	T	PLEASE	100.0000	166217	166223
	0	T	PROVIDE	100.0000	167224	167231
	0	T	IT	100.0000	168232	168234
	0	T	ONLY	100.0000	169235	169239
	1	T	I	100.0000	170170	170171
	1	T	DON'T	100.0000	171172	171177
	1	T	HAVE	100.0000	172178	172182
	1	T	THE	100.0000	173183	173186
	1	T	ACCOUNT	100.0000	174187	174194
	1	T	NUMBER	100.0000	175195	175201
	0	T	OH	100.0000	176176	176178
	0	T	DO	100.0000	177180	177182
	0	T	YOU	100.0000	178183	178186
	0	T	HAVE	100.0000	179187	179191
	0	T	THE	100.0000	180192	180195
	0	T	ACCOUNT	100.0000	181196	181203
	0	T	NUMBER	100.0000	182204	182210
	0	T	HANDY	100.0000	183211	183216
	1	T	8993	100.0000	184184	184188
	1	T	40	100.0000	185189	185191
	1	T	029	100.0000	186192	186195
	1	T	089726	100.0000	187196	187202
	0	T	GOT	100.0000	188188	188191
	0	T	IT	100.0000	189192	189194
	0	T	I	100.0000	190196	190197
	0	T	AM	100.0000	191198	191200
	0	T	NOW	100.0000	192201	192204
	0	T	WORKING	100.0000	193205	193212
	0	T	ON	100.0000	194213	194215
	0	T	THE	100.0000	195216	195219
	0	T	PROCESS	100.0000	196220	196227
	0	T	PLEASE	100.0000	197229	197235
	0	T	ALLOW	100.0000	198236	198241
	0	T	ME	100.0000	199242	199244
	0	T	ANOTHER	100.0000	200245	200252
	0	T	MINUTE	100.0000	201253	201259
	0	T	OR	100.0000	202260	202262
	0	T	TWO	100.0000	203263	203266
	0	T	THANK	100.0000	204204	204209
	0	T	YOU	100.0000	205210	205213
	0	T	FOR	100.0000	206214	206217
	0	T	PATIENTLY	100.0000	207218	207227
	0	T	WAITING	100.0000	208228	208235
	0	T	GREAT	100.0000	209209	209214
	0	T	NEWS	100.0000	210215	210219
	0	T	USERNAME	100.0000	211221	211229
	0	T	REGISTERED	100.0000	212230	212240
	0	T	ON	100.0000	213241	213243
	0	T	THE	100.0000	214244	214247
	0	T	ACCOUNT	100.0000	215248	215255
	0	T	HAS	100.0000	216256	216259
	0	T	NOW	100.0000	217260	217263
	0	T	BEEN	100.0000	218264	218268
	0	T	SENT	100.0000	219269	219273
	0	T	TO	100.0000	220274	220276
	0	T	YOUR	100.0000	221277	221281
	0	T	EMAIL	100.0000	222282	222287
	0	T	PLEASE	100.0000	223223	223229
	0	T	TRY	100.0000	224230	224233
	0	T	TO	100.0000	225234	225236
	0	T	ACCESS	100.0000	226237	226243
	0	T	YOUR	100.0000	227244	227248
	0	T	ACCOUNT	100.0000	228249	228256
	0	T	NOW	100.0000	229257	229260
	0	T	AND	100.0000	230261	230264
	0	T	CHECK	100.0000	231265	231270
	0	T	IF	100.0000	232271	232273
	0	T	IT	100.0000	233274	233276
	0	T	IS	100.0000	234277	234279
	0	T	WORKING	100.0000	235280	235287
	0	T	NOW	100.0000	236288	236291
	1	T	SO	100.0000	237237	237239
	1	T	I	100.0000	238241	238242
	1	T	AM	100.0000	239243	239245
	1	T	ON	100.0000	240246	240248
	1	T	MY	100.0000	241249	241251
	1	T	ACCOUNT	100.0000	242252	242259
	1	T	NOW	100.0000	243260	243263
	1	T	AND	100.0000	244264	244267
	1	T	I	100.0000	245268	245269
	1	T	NEED	100.0000	246270	246274
	1	T	TO	100.0000	247275	247277
	1	T	DON'THING	100.0000	248278	248287
	1	T	ISNT	100.0000	249289	249293
	1	T	IT	100.0000	250294	250296
	1	T	WILL	100.0000	251298	251302
	1	T	I	100.0000	252303	252304
	1	T	HAVE	100.0000	253305	253309
	1	T	TO	100.0000	254310	254312
	1	T	USE	100.0000	255313	255316
	1	T	THE	100.0000	256317	256320
	1	T	SAME	100.0000	257321	257325
	1	T	USERNAME	100.0000	258326	258334
	1	T	AS	100.0000	259335	259337
	1	T	I	100.0000	260338	260339
	1	T	HAD	100.0000	261340	261343
	1	T	BEFORE	100.0000	262344	262350
	1	T	FOR	100.0000	263351	263354
	1	T	A	100.0000	264355	264356
	1	T	DIFFERENT	100.0000	265357	265366
	1	T	EMAIL	100.0000	266367	266372
	0	T	YES	100.0000	267267	267270
	0	T	YOU	100.0000	268272	268275
	0	T	HAVE	100.0000	269276	269280
	0	T	TO	100.0000	270281	270283
	0	T	USE	100.0000	271284	271287
	0	T	YOUR	100.0000	272288	272292
	0	T	AMERICA	100.0000	273293	273300
	0	T	PHONE	100.0000	274301	274306
	0	T	SERVICE	100.0000	275307	275314
	0	T	USERNAME	100.0000	276315	276323
	0	T	AND	100.0000	277324	277327
	0	T	THE	100.0000	278328	278331
	0	T	NAME	100.0000	279332	279336
	0	T	OF	100.0000	280337	280339
	0	T	YOUR	100.0000	281340	281344
	0	T	ACCOUNT	100.0000	282345	282352
	0	T	ONLINE	100.0000	283353	283359
	1	T	OK	100.0000	284284	284286
	1	T	SO	100.0000	285287	285289
	1	T	ONCE	100.0000	286290	286294
	1	T	I	100.0000	287295	287296
	1	T	AM	100.0000	288297	288299
	1	T	DONE	100.0000	289300	289304
	1	T	WITH	100.0000	290305	290309
	1	T	THIS	100.0000	291310	291314
	1	T	I	100.0000	292316	292317
	1	T	WILL	100.0000	293318	293322
	1	T	HAVE	100.0000	294323	294327
	1	T	TO	100.0000	295328	295330
	1	T	START	100.0000	296331	296336
	1	T	ALL	100.0000	297337	297340
	1	T	OVER	100.0000	298341	298345
	1	T	AGAIN	100.0000	299346	299351
	0	T	YES	100.0000	300300	300303
	0	T	THAT	100.0000	301305	301309
	0	T	WILL	100.0000	302310	302314
	0	T	BE	100.0000	303315	303317
	0	T	GREAT	100.0000	304318	304323
	0	T	AS	100.0000	305305	305307
	0	T	FOR	100.0000	306308	306311
	0	T	THE	100.0000	307312	307315
	0	T	LOGINS	100.0000	308316	308322
	0	T	OF	100.0000	309323	309325
	0	T	THE	100.0000	310326	310329
	0	T	ACCOUNT	100.0000	311330	311337
	0	T	WE	100.0000	312339	312341
	0	T	DO	100.0000	313342	313344
	0	T	HAVE	100.0000	314345	314349
	0	T	A	100.0000	315350	315351
	0	T	DEDICATED	100.0000	316352	316361
	0	T	TEAM	100.0000	317362	317366
	0	T	THAT	100.0000	318367	318371
	0	T	CAN	100.0000	319372	319375
	0	T	ASSIST	100.0000	320376	320382
	0	T	YOU	100.0000	321383	321386
	0	T	ON	100.0000	322387	322389
	0	T	THIS	100.0000	323390	323394
	0	T	NO	100.0000	324324	324326
	0	T	NEED	100.0000	325327	325331
	0	T	TO	100.0000	326332	326334
	0	T	YOU	100.0000	327335	327338
	0	T	TO	100.0000	328339	328341
	0	T	REPEAT	100.0000	329342	329348
	0	T	YOURSELF	100.0000	330349	330357
	0	T	JUST	100.0000	331359	331363
	0	T	TO	100.0000	332364	332366
	0	T	SET	100.0000	333367	333370
	0	T	PROPER	100.0000	334371	334377
	0	T	EXPECTATIONS	100.0000	335378	335390
	0	T	YOU	100.0000	336392	336395
	0	T	HAVE	100.0000	337396	337400
	0	T	REACHED	100.0000	338401	338408
	0	T	THE	100.0000	339409	339412
	0	T	RIGHT	100.0000	340413	340418
	0	T	DEPARTMENT	100.0000	341419	341429
	0	T	THAT	100.0000	342430	342434
	0	T	CAN	100.0000	343435	343438
	0	T	HELP	100.0000	344439	344443
	0	T	YOU	100.0000	345444	345447
	0	T	ON	100.0000	346448	346450
	0	T	THIS	100.0000	347451	347455
	0	T	AS	100.0000	348457	348459
	0	T	FOR	100.0000	349460	349463
	0	T	THE	100.0000	350464	350467
	0	T	PASSWORD	100.0000	351468	351476
	0	T	I	100.0000	352478	352479
	0	T	CAN	100.0000	353480	353483
	0	T	HAVE	100.0000	354484	354488
	0	T	THEM	100.0000	355489	355493
	0	T	ASSIGNED	100.0000	356494	356502
	0	T	SHALL	100.0000	357357	357362
	0	T	WE	100.0000	358363	358365
	0	T	GO	100.0000	359366	359368
	0	T	AHEAD	100.0000	360369	360374
	0	T	AND	100.0000	361375	361378
	0	T	CALL	100.0000	362379	362383
	0	T	THEM	100.0000	363384	363388
	0	T	AT	100.0000	364389	364391
	0	T	THIS	100.0000	365392	365396
	0	T	NUMBER	100.0000	366397	366403
	0	T	1	100.0000	367406	367407
	0	T	888	100.0000	368408	368411
	0	T	565	100.0000	369412	369415
	0	T	4329	100.0000	370416	370420
	1	T	THATS	100.0000	371371	371376
	1	T	OK	100.0000	372377	372379
	0	T	PLEASE	100.0000	373373	373379
	0	T	CONFIRM	100.0000	374380	374387
	0	T	THE	100.0000	375388	375391
	0	T	LAST	100.0000	376392	376396
	0	T	4	100.0000	377397	377398
	0	T	DIGIT	100.0000	378399	378404
	0	T	OF	100.0000	379405	379407
	0	T	THE	100.0000	380408	380411
